Figure 2. Optimization for the Trifluoromethylation

| Entry | Variation from standard conditions | 1-mono/1-bis, % Yield |
| :--- | :--- | :--- |
| 1 | none | 67/10 |
| 2 | (4-BrPh)2SO instead of (4-CIPh)2SO | 60/13 |
| 3 | 390 nm instead of 427 nm | 68/12 |
| 4 | 1 equiv. TFA and 1 equiv. (4-CIPh)2SO | 54/5 |
| 5 | 12 h instead of 48 h | 48/1 |
| 6 | without sulfoxide | 0/0 |
| 7 | without photocatalyst | 0/0 |
| 8 | without light | 0/0 |
| 9 | 2 equiv. BHT | 37/1 |
| 10 | 2 equiv. TEMPO | 0/0 |

Yields determined by 19 F NMR spectroscopy using trifluoromethylbenzene as an internal standard. BHT, 3,5-ditert -butyl-4-hydroxytoluene. TEMPO, 2,2,6,6-tetramethylpiperidine-1-oxyl.
