Table 2 Optimization of the reaction conditions of 1a and 2a a

| Entry   | DPZ catalyst (mol%)   |   T [h] |   Conversion b [%] |
|---------|-----------------------|---------|--------------------|
| 1       | A (2.0)               |       2 |                 12 |
| 2       | B (2.0)               |       2 |                  7 |
| 3       | C (2.0)               |       2 |                 10 |
| 4       | D (2.0)               |       2 |                  8 |
| 5       | E (2.0)               |       2 |                 38 |
| 6       | F (2.0)               |       2 |                 49 |
| 7       | G (2.0)               |       2 |                 76 |
| 8       | H (2.0)               |       2 |                 96 |
| 9       | H (0.1)               |       5 |                100 |
| 10 c    | H (0.1)               |       5 |                100 |

![Image](Zhao et al. - 2014 - Dicyanopyrazine-derived push–pull chromophores for highly efficient photoredox catalysis_artifacts/image_000006_3632b5b9b097ab1d4973d80152e67adc36c35b5ee9572225bea0b2637c04d5be.png)
