Table 2 Optimization of the reaction conditions of 1a and 2a a

| Entry   | DPZ catalyst (mol%)   |   T [h] |   Conversion b [%] |
|---------|-----------------------|---------|--------------------|
| 1       | A (2.0)               |       2 |                 12 |
| 2       | B (2.0)               |       2 |                  7 |
| 3       | C (2.0)               |       2 |                 10 |
| 4       | D (2.0)               |       2 |                  8 |
| 5       | E (2.0)               |       2 |                 38 |
| 6       | F (2.0)               |       2 |                 49 |
| 7       | G (2.0)               |       2 |                 76 |
| 8       | H (2.0)               |       2 |                 96 |
| 9       | H (0.1)               |       5 |                100 |
| 10 c    | H (0.1)               |       5 |                100 |

a Reaction conditions: 1a (0.5 mmol), 2a (0.5 mL), catalyst A–H (x mol%), air, 28 °C, 9 W fluorescent lamp. b Determined by 1H NMR. c DMF (0.5 mL) as solvent.
