Table 1. Optimization of the Reaction Conditions

![Image](ao3c10008_artifacts/image_000010_9d5e9b936edb5b5e2c6525aace860fa211cff6e88c9ee993fc2a1bde464c26b6.png)

| entry | oxidant (equiv) | conversion (%) |
| :--- | :--- | :--- |
| 1 | air | 0 |
| 2 | K2S2O8 (2) | 0 |
| 3 | Cu(OAc)2 (2) | 0 |
| 4 | PhI(OAc)2 (2) | 0 |
| 5 | MesI(OAc)2 (2) | 0 |
| 6 | PhI(TFA)2 (2) | 60 |
| 7 | PhI(TFA)2 (2.5) | 75 |
| 8 | PhI(TFA)2 (3) | 90 (52) |
| 9 | PhI(TFA)2 (3) | complex |
| 10 | PhI(TFA)2 (3) | 0 |
| 11 | PhI(TFA)2 (3) | 0 |

a Product by HPLC. b 3 equiv of the oxidant used. c [Ir(dF(CF3)ppy)2(dtbbpy)]PF6 (5 mol %) used instead of 4CzIPN.
