Table 1. Optimization of Reaction Conditions a .

| Entry | PC | Additive | Solvent | Yield of 2a (%) b |
| :--- | :--- | :--- | :--- | :--- |
| 1 | 4CzIPN | Decanal | toluene | 80 |
| 2 c | 4CzIPN | Decanal | toluene | NR |
| 3 d | 4CzIPN | Decanal | toluene | 17 |
| 4 | - | Decanal | toluene | NR |
| 5 | 4CzIPN | - | toluene | NR |
| 6 | Rose bengal | Decanal | toluene | NR |
| 7 | Mes2AcrtBu2PF6 | Decanal | toluene | NR |
| 8 | Xanthone | Decanal | toluene | NR |
| 9 | 9-Fluorenone | Decanal | toluene | NR |
| 10 | Eosin Y | Decanal | toluene | 73 |
| 11 | 4CzIPN | Decanal | THF | NR |
| 12 | 4CzIPN | Decanal | DMF | NR |
| 13 | 4CzIPN | Decanal | EtOAc | NR |
| 14 | 4CzIPN | Decanal | DCE | NR |
| 15 | 4CzIPN | Decanal | NMP | NR |
| 16 | 4CzIPN | Decanal | CH3CN | NR |
| 17 | 4CzIPN | Decanal | PhCl | 65 |
| 18 | 4CzIPN | Decanal | o-Xylene | 70 |
| 19 | 4CzIPN | Aldehyde-1 | toluene | 40 |
| 20 | 4CzIPN | Aldehyde-2 | toluene | 67 |
| 21 | 4CzIPN | Aldehyde-3 | toluene | 33 |
| 22 | 4CzIPN | Aldehyde-4 | toluene | 57 |
| 23 | 4CzIPN | Aldehyde-5 | toluene | 61 |
| 24 e | 4CzIPN | Decanal | toluene | 60 |

a Reaction conditions: 1a (35 mg, 0.2 mmol), additive (0.2 mmol, 1 equiv), photocatalyst (0.006 mmol), H2O (0.4 mL), solvent (1 mL), under Ar atmosphere, using 35 W blue LED. b Isolated yield of 2a was given, and regioselective ratio of 2a / 3a was more than 25/1 in all cases in this table. c In dark. d No water. e 4CzIPN (2 mol%, 0.004 mmol) was used.
