Table 1. Optimization studies.

| Entry | Deviation from Stand. Cond. | Conv. of 1a, % 1 | Y. of 3a, % 2 | Y. of 4a, % 2 |
| :--- | :--- | :--- | :--- | :--- |
| 1 | None | >99 | 70 (60) 3 | 20 |
| 2 | MeCN as solv., 24 h | >99 | 56 | 19 |
| 3 | DMF as solv., 24 h | 97 | 64 | 21 |
| 4 | 3DPAFIPN as PC, 24 h | 91 | 32 | 25 |
| 5 | Conc. 0.125 M | >99 | 61 | 13 |
| 6 | 60 W LED, 2 h | >99 | 68 | 14 |
| 7 | 1.2 equiv. of 2a, 8 h | >99 | 68 | 17 |
| 8 | L1 (11%) | >99 | 71 | 18 |
| 9 | L2 (11%) | 85 | 57 | 20 |
| 10 | L3 (11%) | 95 | 48 | 22 |
| 11 | no MnBr2 | >99 | 42 | 13 |
| 12 | Imes·CuBr instead of MnBr2 | 1 | n.d. | n.d. |

1 Determined by GC-MS analysis. 2 Determined by NMR analysis. 3 Isolated yield.
