Table 1 Condition screening for annulation reaction a

| Entry    | VLPC, 5%         | Solvent   |   Time, h | Yield b , %   |
|----------|------------------|-----------|-----------|---------------|
| 1        | No PC            | Benzene   |       168 | 51            |
| 2        | TXO              | Benzene   |        53 | 75            |
| 3        | Rose Bengal, 2%  | Benzene   |        65 | 60            |
| 4        | Butanedione, 30% | Benzene   |        75 | 54            |
| 5        | 4CzIPN           | Benzene   |        49 | 88            |
| 6        | 4CzIPN, 2%       | Benzene   |        51 | 79            |
| 7        | 4CzIPN           | DCE       |        56 | 52            |
| 8        | 4CzIPN           | Dioxane   |        39 | 57            |
| 9        | 4CzIPN           | MeCN      |        48 | 19            |
| 10 c     | 4CzIPN           | Benzene   |        38 | 87            |
| 11 d     | 4CzIPN           | Benzene   |        10 | 92            |
| 12 e     | 4CzIPN           | Benzene   |       156 | NR            |
| 13 d , f | 4CzIPN           | Benzene   |        11 | 61            |
| 14 d , g | 4CzIPN           | Benzene   |         7 | 76            |

a Reagents and conditions: 0.1 mmol 1a (31.5 mg), 0.13 mmol 2a (25.2 mg) and 0.005 mmol VLPC in 10 mL distilled benzene was ultrasonicated and purged with N2 for 10 minutes and then irradiated under 24 W blue LED. TXO: Thioxanthen-9-one. 4CzIPN: 2,4,5,6tetrakis(carbazol-9-yl)-1,3-dicyanobenze. b Isolated yield. c Pyridine (2.2 eq.) was added. d 50 W blue LED was used as light source. e NO light, under re  ux. f 2,3-Dichloronaphthoquinone ( 1b ) was used instead of 1a . g 2-Bromo-3-methoxynaphothoquninone ( 1c ) was used instead of 1a .
