Table 1 We o ff er a photocatalyst optimization table for 4a production a

NH2

1,2,3,5-Tetrakis(carbazol-9-yl)-4,6-dicyanobenzene (4CzIPN)

СНз

HN

![Image](d2ra07064b_artifacts/image_000005_6b71c3105533481b8f7933318ef013e64b72209a7d3825787da401d708925541.png)

|   Entry | Photocatalyst                            | Solvent (3 mL)   |   Time (min) | Isolated yields (%)   |
|---------|------------------------------------------|------------------|--------------|-----------------------|
|       1 | -                                        | EtOH             |           25 | Trace                 |
|       2 | 4CzIPN (0.1 mol%)                        | EtOH             |            5 | 84                    |
|       3 | 4CzIPN (0.2 mol%)                        | EtOH             |            5 | 96                    |
|       4 | 4CzIPN (0.3 mol%)                        | EtOH             |            5 | 96                    |
|       5 | 2CzPN (0.2 mol%)                         | EtOH             |            5 | 53                    |
|       6 | 4CzPN (0.2 mol%)                         | EtOH             |            5 | 61                    |
|       7 | Carbazole (0.2 mol%)                     | EtOH             |            5 | 38                    |
|       8 | Tetrahydrocarbazole (0.2 mol%)           | EtOH             |            5 | 32                    |
|       9 | Tetra  uoroisophthalonitrile (0.2 mol%) | EtOH             |            5 | 24                    |

a Reaction conditions: at rt, benzaldehyde (1.0 mmol), ethyl acetoacetate (1.0 mmol), and urea (1.5 mmol) are utilized together with several photocatalysts.
