Table 2 The solvent and visible light optimization for the synthesis of 4a are shown in a table a

NH2

Нз

HN

![Image](d2ra07064b_artifacts/image_000009_5c4be2d54801f286a65231519d53e6a0d6ad295da42980dc7062ec2265cccec2.png)

‚CO≥Et

-CHз

|   Entry | Light source      | Solvent (3 mL)   |   Time (min) | Isolated yields (%)   |
|---------|-------------------|------------------|--------------|-----------------------|
|       1 | -                 | EtOH             |           25 | Trace                 |
|       2 | Blue light (7 W)  | -                |           10 | 54                    |
|       3 | Blue light (7 W)  | H 2 O            |            5 | 84                    |
|       4 | Blue light (7 W)  | CH 3 CN          |            5 | 79                    |
|       5 | Blue light (3 W)  | EtOH             |            5 | 91                    |
|       6 | Blue light (7 W)  | EtOH             |            5 | 96                    |
|       7 | White light (7 W) | EtOH             |            5 | 84                    |
|       8 | Green light (7 W) | EtOH             |            5 | 88                    |
|       9 | Blue light (10 W) | EtOH             |            5 | 96                    |
|      10 | Blue light (7 W)  | MeOH             |            7 | 63                    |
|      11 | Blue light (7 W)  | DCM              |           25 | 29                    |
|      12 | Blue light (7 W)  | DMF              |           20 | 31                    |
|      13 | Blue light (7 W)  | EtOAc            |            5 | 74                    |
|      14 | Blue light (7 W)  | DMSO             |           15 | 40                    |
|      15 | Blue light (7 W)  | THF              |           20 | 24                    |
