Table 1 Optimization of reaction conditions a

| Entry   | Variations from ' standard ' condition              | Yield of 4a / 5a   | E / Z   |
|---------|-----------------------------------------------------|--------------------|---------|
| 1       | None                                                | 87% (84%)          | 92/8    |
| 2       | Ir[dF(CF 3 )ppy] 2 (dtbbpy)PF 6 , instead of 4CzIPN | 37%                | 17/83   |
| 3       | Ir(ppy) 3 , instead of 4CzIPN                       | 8%                 | 63 : 37 |
| 4       | No 4CzIPN                                           | 23%                | 97/3    |
| 5       | No pyrene & 4CzIPN                                  | 8%                 | -       |
| 6       | No Ni catalyst                                      | 0                  | -       |
| 7       | No ligand                                           | 64%                | 87/13   |
| 8       | No light                                            | 0                  | -       |
| 9       | No pyrene                                           | 79%                | 16/84   |
| 10 b    | No pyrene                                           | 75% (71%)          | 6/94    |
