TABLE 1 Optimization of reaction conditions a .

| Entry   | Photocatalyst (5 mol%)   | Base (2 equiv)   | Solvent   | Yield (%)   |
|---------|--------------------------|------------------|-----------|-------------|
| 1       | 4CzIPN                   | Cs 2 CO 3        | DMSO      | 56          |
| 2       | Rhodamine B              | Cs 2 CO 3        | DMSO      | 0           |
| 3       | Rhodamine 6G             | Cs 2 CO 3        | DMSO      | 0           |
| 4       | Fluorescein              | Cs 2 CO 3        | DMSO      | 0           |
| 5       | Na 2 -Eosin Y            | Cs 2 CO 3        | DMSO      | 0           |
| 6       | Rose bengal              | Cs 2 CO 3        | DMSO      | 0           |
| 7       | 4CzIPN                   | Na 2 CO 3        | DMSO      | 23          |
| 8       | 4CzIPN                   | K 2 CO 3         | DMSO      | 17          |
| 9       | 4CzIPN                   | LiOH             | DMSO      | 7           |
| 10      | 4CzIPN                   | KOH              | DMSO      | 7           |
| 11      | 4CzIPN                   | CsOH             | DMSO      | 32          |
| 12      | 4CzIPN                   | Et 3 N           | DMSO      | 10          |
| 13      | 4CzIPN                   | DIPEA            | DMSO      | 5           |
| 14      | 4CzIPN                   | TMEDA            | DMSO      | 5           |
| 15      | 4CzIPN                   | DABCO            | DMSO      | 6           |
| 16      | 4CzIPN                   | Cs 2 CO 3        | DCM       | 22          |
| 17      | 4CzIPN                   | Cs 2 CO 3        | MeCN      | 0           |
| 18      | 4CzIPN                   | Cs 2 CO 3        | DMF       | 3           |
| 19      | 4CzIPN                   | Cs 2 CO 3        | DMAC      | 13          |
| 20      | 4CzIPN                   | Cs 2 CO 3        | NMP       | 32          |
| 21      | 4CzIPN                   | Cs 2 CO 3        | THF       | 0           |
| 22      | 4CzIPN                   | Cs 2 CO 3        | DMC       | 0           |
| 23      | 4CzIPN                   | Cs 2 CO 3        | EG        | 0           |
| 24      | 4CzIPN                   | Cs 2 CO 3        | H 2 O     | 0           |
| 25 b    | 4CzIPN                   | Cs 2 CO 3        | DMSO      | 74          |
| 26 c    | 4CzIPN                   | Cs 2 CO 3        | DMSO      | 91          |
| 27 d    | 4CzIPN                   | Cs 2 CO 3        | DMSO      | N. R        |
| 28 c    | -                        | Cs 2 CO 3        | DMSO      | N. R        |
| 29 c    | 4CzIPN                   | -                | DMSO      | N. R        |
