Table 1. Optimization of the Reaction Conditions a

|   Entry | Deviation from optimized conditions   | 3a (%) b       |
|---------|---------------------------------------|----------------|
|       1 | None                                  | 75 (71 c )     |
|       2 | Using Li, Na, and K oxamates          | 27, 33, and 52 |
|       3 | Using NiBr 2 · L2 as ligand           | 62             |
|       4 | Using NiBr 2 · L3 as ligand           | 40             |
|       5 | Using NiBr 2 · L4 as ligand           | 36             |
|       6 | Using Ir - I as photocatalyst         | 46             |
|       7 | Using Ir - II as photocatalyst        | 38             |
|       8 | DMF as solvent                        | 67             |
|       9 | DMSO as solvent                       | 47             |
|      10 | In the absence of photocatalyst       | 0              |
|      11 | In the absence of light               | 0              |
|      12 | In the absence of ligand              | 12             |
|      13 | In the absence of nickel              | 0              |

a Optimization of the reaction conditions: 1a (0.15 mmol), 2a (0.1 mmol), at 40 -45 ° C, for 24 h. b NMR yields using benzyl benzoate as an internal standard. c Isolated yield.
