Table 1 Development of Ru photoarylation a

|   Entry | Catalyst                         | Additives             | Solvent                 | Yield b [%]   |
|---------|----------------------------------|-----------------------|-------------------------|---------------|
|       1 | [RuCl 2 ( p -cymene)] 2          | MesCO 2 H             | 1,4-Dioxane             | (70)          |
|       2 | [RuCl 2 ( p -cymene)] 2          | MesCO 2 H             | DME                     | 60            |
|       3 | [RuCl 2 ( p -cymene)] 2          | MesCO 2 H             | THF                     | 65            |
|       4 | [RuCl 2 ( p -cymene)] 2          | MesCO 2 H             | 2-MeTHF                 | (72)          |
|       5 | [RuCl 2 ( p -cymene)] 2          | N-Ac- L -isoleu       | 2-MeTHF                 | (74)          |
|       6 | [RuCl 2 ( p -cymene)] 2          | N-Ac- L -isoleu       | 2-MeTHF                 | (78)          |
|       7 | [RuCl 2 ( p -cymene)] 2          | N-Ac- L -isoleu/H 2 O | 2-MeTHF                 | (80)          |
|       8 | [RuCl 2 ( p -cymene)] 2          | None/H 2 O            | 2-MeTHF                 | (80)          |
|       9 | [RuCl 2 ( p -cymene)] 2          | N-Ac- L -isoleu       | MeOH, MeCN, DCM, or DMF | Trace         |
|      10 | RuCl 3 $ H 2 O                   | None                  | 2-MeTHF                 | 0             |
|      11 | Ru(PPh 3 ) 4 Cl 2                | N-Ac- L -isoleu/H 2 O | 2-MeTHF                 | 0             |
|      12 | Ru(bpy) 3 Cl 2                   | None                  | 2-MeTHF                 | 0             |
|      13 | [RuCl 2 ( p -cymene)] 2 (5 mol%) | N-Ac- L -isoleu/H 2 O | 2-MeTHF                 | (72)          |
|      14 | No catalyst                      | N-Ac- L -isoleu       | 2-MeTHF                 | 0             |
|      15 | [RuCl 2 ( p -cymene)] 2 dark     | N-Ac- L -isoleu/H 2 O | 2-MeTHF                 | 0             |
|      16 | [RuCl 2 ( p -cymene)] 2 with air | N-Ac- L -isoleu/H 2 O | 2-MeTHF                 | 0             |
