Table 1. Optimization of the Deboronative Phosphonylation

|   entry a | Variation from 'standard conditions'          | 3a (%) b   |
|-----------|-----------------------------------------------|------------|
|         1 | no change                                     | 85 (81) c  |
|         2 | 2b - 2f instead of 2a                         | ≤ 1 d      |
|         3 | 2g instead of 2a                              | 18         |
|         4 | no MeOH                                       | 2          |
|         5 | 2 equiv of MeOH                               | 57         |
|         6 | 10 equiv of MeOH                              | 65         |
|         7 | 1.5 equiv of 2a                               | 77         |
|         8 | MeCN as the solvent                           | 73         |
|         9 | Ir[(ppy) 2 (dtbbpy)]PF 6 as the photocatalyst | 75         |
|        10 | in the dark                                   | 0          |
|        11 | no 4CzIPN                                     | 0          |

a Reaction conditions: 1a (0.10 mmol), 2a (0.20 mmol), MeOH, 5 mol % 4CzIPN, solvent (0.05 M, 2.0 mL), 40 W blue Kessil LED lamps ( × 2), N2, r.t., 20 h, then MeOH (0.3 mL), 1 h. b Yields were determined by 1 H NMR analysis using diethyl phthalate as an internal standard. c Yield of the isolated product after column chromatography. d For phosphites 2b -2e , the corresponding products are dimethyl, diethyl, or ethylene glycolato phosphonate esters instead of catecholato phosphonate ester 3a .
