## Table 1. Reaction Optimization *

![Image](ja4c02474_artifacts/image_000010_e453c127a9b13034403da84492d352a557dba6f23489c87cd61d6c846e1a29dd.png)

|   Entry | Deviation from Standard Conditions                                              | Yield a (%)   | RCY (%)     |
|---------|---------------------------------------------------------------------------------|---------------|-------------|
|       1 | with NEt 3 · 3HF (2 equiv), 3a (1 mol%) in CH 2 Cl 2 (0.2 M) for 16 h           | 84%           |             |
|       2 | with KF (2 equiv), HFIP (10 equiv), 3a (1 mol%) in CH 2 Cl 2 (0.05 M) for 16 h  | 20%           |             |
|       3 | with CsF (2 equiv), HFIP (10 equiv), 3a (1 mol%) in CH 2 Cl 2 (0.05 M) for 16 h | 59%           |             |
|       4 | none                                                                            |               | 92 ± 4 n =3 |
|       5 | no photocatalyst                                                                |               | 0 n =1      |
|       6 | no irradiation                                                                  |               | 0 n =1      |
|       7 | no HFIP                                                                         |               | 11 n =1     |
|       8 | in THF                                                                          |               | 51 n =1     |
|       9 | with 4CzIPN                                                                     |               | 90 n =1     |
|      10 | 2 min reaction time                                                             |               | 71 n =1     |
|      11 | 0.005 mmol substrate loading                                                    |               | 66 n =1     |
|      12 | no N 2 degassing                                                                |               | 82 n =1     |

* [ 18 F]KF was prepared with a K2CO3 (0.011 mmol)/K222 (0.020 mmol) elution protocol. RCY: radiochemical yield determined by radioHPLC. Redox potentials given versus SCE. 15 a Determined by quantitative 19 F NMR.
