Table 1 a

![Image](jo3c00895_artifacts/image_000009_76c893ebc849afd842c9c6ff882733f1dbab69de5f411976e637c710d59e69d4.png)

|   entry | HAT catalyst            | deviation   |   yield b (%) |
|---------|-------------------------|-------------|---------------|
|       1 | cyclohexanethiol        | -           |             0 |
|       2 | triphenylmethanethiol   | -           |             0 |
|       3 | triisopropylsilanethiol | -           |             0 |
|       4 | DABCO                   | -           |             0 |
|       5 | HOBt                    | -           |             0 |
|       6 | NHPI                    | -           |             0 |
|       7 | PhN(SO 2 CF 3 ) 2       | -           |            98 |

a Conditions are as follows: Aryl bromide (0.1 mmol), sodium formate (0.15 mmol), 4CzIPN (1 mol %), HAT catalyst (15 mol %), NiBr2 · dtbbpy (10 mol %), 1:1 DMSO/dioxane (v/v, 0.1 M), blue LEDs, and Ar at 23 ° C for 16 h. b Yields determined via 1 H NMR using dibromomethane as an internal standard.
