Table 1. Optimization of the reaction conditions.

| Entry   | [Pd]      | [Photocatalyst]   | [Solvent]   | Yield (%)   |
|---------|-----------|-------------------|-------------|-------------|
| 1       | Pd(OAc) 2 | Eosin Y           | PhCl        | 55          |
| 2       | Pd(TFA) 2 | Eosin Y           | PhCl        | 46          |
| 3       | PdCl 2    | Eosin Y           | PhCl        | <5          |
| 4       | Pd(OAc) 2 | fac -Ir(ppy) 3    | PhCl        | 20          |
| 5       | Pd(OAc) 2 | Rose Bengal       | PhCl        | 45          |
| 6       | Pd(OAc) 2 | 4CzIPN            | PhCl        | 70          |
| 7       | Pd(OAc) 2 | 4CzIPN            | CH 3 CN     | <5          |
| 8       | Pd(OAc) 2 | 4CzIPN            | DCE         | 44          |
| 9       | Pd(OAc) 2 | 4CzIPN            | AcOH        | 77          |
| 10 a    | Pd(OAc) 2 | 4CzIPN            | AcOH        | 85          |
| 11 a    | -         | 4CzIPN            | AcOH        | 0           |
| 12 a    | Pd(OAc) 2 | -                 | AcOH        | 30          |
| 13 a,b  | Pd(OAc) 2 | 4CzIPN            | AcOH        | 0           |
| 14 a,c  | Pd(OAc) 2 | 4CzIPN            | AcOH        | 10          |

Reaction conditions: 1a (0.1 mmol), 2a (2 equiv.), [Pd] (10 mol%), [Photocatalyst] (2 mol%), [Solvent] 0.2 M, air, 18 h. Isolated yields are given. a 2a (3 equiv.), b dark, c N2.
