Table 1. Optimization Studies and Control Reactions a

|   entry | deviation from standard conditions   | % yield b   |
|---------|--------------------------------------|-------------|
|       1 | none                                 | 71          |
|       2 | aerobic                              | 61          |
|       3 | DMF                                  | 61          |
|       4 | MeCN                                 | 23          |
|       5 | DMSO:H 2 O (9:1)                     | 71          |
|       6 | DMSO:H 2 O (1:1)                     | 2           |
|       7 | DMSO (0.25 M)                        | 45 c        |
|       8 | Ir(ppy) 3                            | 56          |
|       9 | blue LED strip -60 min               | 53          |
|      10 | 60 min                               | 45          |
|      11 | 0.2 mmol 'scale-up'                  | 65 [64 d ]  |
|      12 | no PC/no light                       | 0           |

![Image](ol3c01795_artifacts/image_000011_ca170bdbca3e82fbd7203298fe2b31765a2a3f14173f2a65cb93364209d9bc9e.png)

a Reactions performed under a nitrogen atmosphere on a 60.0 μ mol scale. b Yield of product 3a determined by 19 F NMR spectroscopy using α , α , α -trifluorotoluene as the internal standard. c 60 min, 120 μ mol scale. d Isolated yield.
