Table 1. Optimization of the Reaction Conditions

|   Entry a | PC                               |   PC (mol | Base      | Solvent   | Concentration   | Modifications   | Conversion b   | Yield c (Isolated yield)   |
|-----------|----------------------------------|-----------|-----------|-----------|-----------------|-----------------|----------------|----------------------------|
|         1 | Cl-TXO                           |        20 | Li 2 CO 3 | DMF       | 33 mM           |                 | 39%            | 25%                        |
|         2 | Cl-TXO                           |        20 | Na 2 CO 3 | DMF       | 33 mM           |                 | 49%            | 22%                        |
|         3 | Cl-TXO                           |        20 | K 2 CO 3  | DMF       | 33 mM           |                 | 58%            | 28%                        |
|         4 | Cl-TXO                           |        20 | Cs 2 CO 3 | DMF       | 33 mM           |                 | 49%            | 23%                        |
|         5 | Cl-TXO                           |        20 | Li 2 CO 3 | DMF       | 33 mM           | Phthalimide d   | 56%            | 27%                        |
|         6 | di- t Bu-Mes-Acr + BF 4 -        |         5 | Li 2 CO 3 | DMF       | 33 mM           | SynLED          | 0%             | 0%                         |
|         7 | (Ir(dF(CF 3 )ppy) 2 (dtbpy))PF 6 |         8 | Li 2 CO 3 | DMF       | 33 mM           |                 | 76%            | 31%                        |
|         8 | 4CzIPN                           |         1 | Li 2 CO 3 | DMF       | 33 mM           |                 | 78%            | 53%                        |
|         9 | 4CzIPN                           |         3 | Li 2 CO 3 | DMF       | 33 mM           |                 | >95%           | 63% (51%)                  |
|        10 | 4CzIPN                           |         5 | Li 2 CO 3 | DMF       | 33 mM           |                 | >95%           | 45%                        |
|        11 | 4CzIPN                           |         8 | Li 2 CO 3 | DMF       | 33 mM           |                 | >95%           | 47%                        |
|        12 | 4CzIPN                           |        15 | Li 2 CO 3 | DMF       | 33 mM           |                 | >95%           | 40%                        |
|        13 | 3CzClIPN                         |         3 | Li 2 CO 3 | DMF       | 33 mM           |                 | 0%             | 0%                         |
|        14 | 5CzBN                            |         3 | Li 2 CO 3 | DMF       | 33 mM           |                 | >95%           | 63%                        |
|        15 | 3DPA2FBN                         |         3 | Li 2 CO 3 | DMF       | 33 mM           |                 | 44%            | 23%                        |
|        16 | 4CzIPN                           |         3 | Li 2 CO 3 | DMF       | 33 mM           | No H 2 O        | >95%           | 45%                        |
|        17 | 4CzIPN                           |         3 | Li 2 CO 3 | THF       | 33 mM           |                 | 0%             | 0%                         |
|        18 | 4CzIPN                           |         3 | Li 2 CO 3 | DMC       | 33 mM           |                 | 0%             | 0%                         |
|        19 | 4CzIPN                           |         3 | Li 2 CO 3 | CH 3 CN   | 33 mM           |                 | 0%             | 0%                         |
|        20 | 4CzIPN                           |         3 | Li 2 CO 3 | DMF       | 20 mM           |                 | >95%           | 36%                        |
|        21 | 4CzIPN                           |         3 | Li 2 CO 3 | DMF       | 50mM            |                 | >95%           | 64%                        |

a Reaction conditions: 4-Bromobenzonitrile (18.2 mg, 100 μ mol), 1a (35.8 mg, 200 μ mol), base (200 μ mol), NiCl2 · glyme (2.20 mg, 10.0 μ mol), 4,4 ′ -dtbbpy (4,4-ditert -butyl-2,2-dipyridyl) (3.22 mg, 12.0 μ mol), argon, 22 h, Kessil tuna blue as a light source ( λ max = 464 nm). b Conversion based on 1 H NMR analysis of the crude reaction mixture. c Yields determined by 1 H NMR analysis of the crude mixture using 1,2,4,5tetramethylbenzene as an internal standard. d 0.25 equiv.
