Table 1. Optimization of Reaction Conditions for Radical Cyclization a

| Entry   | Catalyst (mol %)   | Oxidant ( Y equiv)   | Yield (%) b   | dr c   |
|---------|--------------------|----------------------|---------------|--------|
| 1       |                    |                      | 0             |        |
| 2       | NiCl 2 (10)        |                      | 0             |        |
| 3       | NiCl 2 (10)        | K 2 S 2 O 8 (2.0)    | trace         |        |
| 4       | NiCl 2 (10)        | H 2 O 2 (2.0)        | trace         |        |
| 5       | NiCl 2 (10)        | DTBP (2.0)           | 50            | 1.1:1  |
| 6       | NiCl 2 (10)        | TBHP (2.0)           | 88            | 1.5:1  |
| 7 d     | NiCl 2 (10)        | TBHP (2.0)           | 62            | 1.3:1  |
| 8 e     | NiCl 2 (10)        | TBHP (2.0)           | trace         |        |
| 9 f     | NiCl 2 (10)        | TBHP (2.0)           | 15            | 1:1    |
| 10      | NiCl 2 (20)        | TBHP (2.0)           | 58            | 1.3:1  |
| 11      | NiCl 2 (5)         | TBHP (2.0)           | 69            | 1.4:1  |
| 12      | NiCl 2 (10)        | TBHP (3.0)           | 71            | 1.3:1  |
| 13      | NiCl 2 (10)        | TBHP (1.0)           | 60            | 1.3:1  |
| 14      | CuCl 2 (10)        | TBHP (2.0)           | 53            | 1.2:1  |
| 15      | FeCl 2 (10)        | TBHP (3.0)           | 10            | 1:1    |
| 16      | NiBr 2 (10)        | TBHP (2.0)           | 46            | 1.1:1  |
| 17      | Ni(acac) 2 (10)    | TBHP (3.0)           | 48            | 1.1:1  |
| 18 g    | NiCl 2 (10)        | TBHP (2.0)           | 0             |        |
| 19 h    | NiCl 2 (10)        | TBHP (2.0)           | 0             |        |
| 20 i    | NiCl 2 (10)        | TBHP (2.0)           | trace         |        |

a Standard conditions: 1a (0.20 mmol), catalyst (X mol %), 1,10phenanthroline (20 mol %), [Ir{dFCF3ppy}2(bpy)]PF6 = Ir( ΙΙΙ ) = (1.0 mol %), and DIPEA (10 mol %) in 1,4-dioxane (3.0 mL) were stirred for 4 h and irradiated with blue LED ( λ max = 462 nm, latent temperature ∼ 25 -30 ° C). b Isolated reaction yield. c 1 H NMR analysis of the crude reaction mixture, d Reaction mixture stirred at 10 h. e TBADT used instead of Ir (III). f [Ru(bpy)3](PF6)2 used instead of Ir (III). g K3PO4 used instead of DIPEA. h Na2CO3 used instead of DIPEA. i TEA used instead of DIPEA.
