Table 1. Optimization of Reaction Conditions a

a Reaction conditions: 1h (0.1 mmol), 2a (0.2 mmol), 3a (0.2 mmol), and catalyst (1 mol %) in 2 mL solvent were irradiated with blue LED (456 nm, 40W) in the presence of N2 atmosphere. b Yields and selectivity were determined by NMR with 1,3,5-trimethoxybenzene as an internal standard. Isolated yield of major diastereomer in parentheses. DMC = Dimethyl carbonate.

| entry | catalyst | solvent | yield (%) b | d.r. b |
| :--- | :--- | :--- | :--- | :--- |
| 1 | 4CzIPN | DMSO | 82 (63) | 4:1 |
| 2 | 4CzIPN | MeCN | 45 | 4:1 |
| 3 | 4CzIPN | DMF | 68 | 4:1 |
| 4 | 4CzIPN | DMC | 32 | 4:1 |
| 5 c | 4CzIPN | DMSO | 54 | 4:1 |
| 6 | 3DPAFIPN | DMSO | trace | - |
| 7 | Ir(ppy)3 | DMSO | 42 | 4:1 |
| 8 | [Ir(dF(CF3)ppy)2(dtbbpy)]PF6 | DMSO | 56 | 4:1 |
| 9 d | 4CzIPN | DMSO | 80 | 4:1 |
| 10 e | 4CzIPN | DMSO | 56 | 4:1 |
| 11 f | 4CzIPN | DMSO | 0 | - |
| 12 g | - | DMSO | 0 | - |

c Cs2CO3 (0.2 mmol) was added. d 2 mol % catalyst was used. e Under air. f In the dark. g Without catalyst.
