## Table 1. Optimization Study a

![Image](ol5c01129_artifacts/image_000012_39c76031134bf4f5ce9792ae73c9387d05f23f3e59d24501550a607031b57b48.png)

| entry    | PC             |   x | PTC   | yield b (%)   |
|----------|----------------|-----|-------|---------------|
| 1        | 4CzIPN         | 2.0 | /     | 38            |
| 2        | MesAcr-ClO 4   | 2.0 | /     | 7             |
| 3        | f ac-Ir(ppy) 3 | 2.0 | /     | trace         |
| 4        | Ru(bpy) 3 Cl 2 | 2.0 | /     | trace         |
| 5        | 4CzBN          | 2.0 | /     | 46            |
| 6        | 4CzBN          | 5.0 | /     | 58            |
| 7 c      | 4CzBN          | 6.0 | BTAC  | 75            |
| 8 c , d  | 4CzBN          | 6.0 | BTAC  | 82            |
| 9 c , d  | 4CzBN          |   0 | BTAC  | 27            |
| 10 c , d | /              | 6.0 | BTAC  | N.P.          |
| 11 d , e | 4CzBN          | 6.0 | BTAC  | trace         |

a Reaction conditions: 1a (0.6 mmol), 2a (0.3 mmol), PC (5 mol %), Na2S2O4 (0.3 × x mmol), PTC (0.15 mmol) and i PrOAc/H2O (85/ 15, 3.0 mL) were irradiated with 10 W blue LED at room temperature (rt) for 20 h. b HPLC yield. c 3.1 mL solvent ( i PrOAc 2.55 mL + H2O 0.55 mL). d Addition of 100 μ L AcOH. e Only i PrOAc is used as a solvent.
