Table 3. Results of the Initial Parameter Screening for Solvents and Bases

a 1 mol % 4CzIPN and 6 mol % KO t Bu were used. b Determined by HPLC (c) MeCN as solvent with 1 mol % 4CzIPN and 6 mol % base.

|   entry | solvents a     | bases     |   yield [%] b |
|---------|----------------|-----------|---------------|
|       1 | MeCN           | KO t Bu   |          72.4 |
|       2 | n-amylOAc      | KO t Bu   |             0 |
|       3 | DMC            | KO t Bu   |          48.9 |
|       4 | H 2 O + 2%DMSO | KO t Bu   |           1.7 |
|       5 | MeSesamol 31   | KO t Bu   |             0 |
|       6 | iBuOAc         | KO t Bu   |             0 |
|       7 | EtOH           | KO t Bu   |             0 |
|       8 | acetone        | KO t Bu   |          24.9 |
|       9 | 2-Me-THF       | KO t Bu   |          22.4 |
|      10 | butanol        | KO t Bu   |          28.2 |
|      11 | t Bu-Me ether  | KO t Bu   |             0 |
|      12 | CPME           | KO t Bu   |           6.1 |
|      13 | heptane        | KO t Bu   |          13.6 |
|      14 | toluene        | KO t Bu   |             0 |
|      15 | MeCN           | KO t Bu   |          71.5 |
|      16 | MeCN           | NaOEt     |          16.0 |
|      17 | MeCN           | DBU       |          88.3 |
|      18 | MeCN           | DABCO     |          57.3 |
|      19 | MeCN           | TEA       |           4.9 |
|      20 | MeCN           | DIPEA     |           4.7 |
|      21 | MeCN           | KOH       |          64.4 |
|      22 | MeCN           | Cs 2 CO 3 |          79.2 |
