Table 5. Experimental Design Matrix and Observed 7d Yields a

| entry                | temperature [ ° C]   |   base [mol %] |   catalyst [mol %] |   molar ratio [ - ] |   yield [%] |
|----------------------|----------------------|----------------|--------------------|---------------------|-------------|
| 1                    | 40                   |              4 |                  4 |                 1.5 |        58.7 |
| 2                    | 20                   |              4 |                  4 |                 1.5 |        82.9 |
| 3                    | 40                   |              2 |                  4 |                 1.5 |        54.0 |
| 4                    | 40                   |              4 |                  2 |                 1.5 |        63.8 |
| 5                    | 40                   |              4 |                  4 |                0.75 |        42.8 |
| 6                    | 20                   |              2 |                  4 |                 1.5 |        74.3 |
| 7                    | 20                   |              4 |                  2 |                 1.5 |        78.5 |
| 8                    | 20                   |              4 |                  4 |                0.75 |        62.9 |
| 9                    | 40                   |              2 |                  2 |                 1.5 |        54.6 |
| 10                   | 40                   |              2 |                  4 |                0.75 |        35.1 |
| 11                   | 40                   |              4 |                  2 |                0.75 |        42.1 |
| 12                   | 20                   |              2 |                  2 |                 1.5 |        90.6 |
| 13                   | 20                   |              2 |                  4 |                0.75 |        56.9 |
| 14                   | 20                   |              4 |                  2 |                0.75 |        60.6 |
| 15                   | 40                   |              2 |                  2 |                0.75 |        33.9 |
| 16                   | 20                   |              2 |                  2 |                0.75 |        70.3 |
| 17 (C)               | 30                   |              3 |                  3 |               1.125 |        59.3 |
| 18 (C)               | 30                   |              3 |                  3 |               1.125 |        58.9 |
| 19 (C)               | 30                   |              3 |                  3 |               1.125 |        57.7 |
| a (C): Center point. | a (C): Center point. |                |                    |                     |             |
