inchikey,smiles,name,aliases,papers,pagerank
PRWATGACIORDEL-UHFFFAOYSA-N,C1=CC=C2C(=C1)C3=CC=CC=C3N2C4=C(C(=C(C(=C4C#N)N5C6=CC=CC=C6C7=CC=CC=C75)N8C9=CC=CC=C9C1=CC=CC=C18)N1C2=CC=CC=C2C2=CC=CC=C21)C#N,4CzIPN (2 mol %),"4CzIPN, 4-CzIPN, PC-6, 3DPAFIPN, PC-2, 7, 4CzIPN (5 mol%), PC-I, 4CzIPN (2 mol%), 4CzIPN (4 mol%), II, PC-3 (4CzIPN), 11, 4CzIPN (2 mol %)","1-s2.0-S2666554920300478-main, Alandini_Angewandte Chemie International Edition_10.1002_anie.202000224, Angew Chem Int Ed - 2019 - Meng - Controllable Isomerization of Alkenes by Dual Visible‐Light‐Cobalt Catalysis, Asymmetric_1,4-functionalization_of_1,3-enynes_via_dual_photoredox_and_chromium_catalysis, Banjare et al. - 2025 - Radical C─H‐Aroylation of Allenes via Cooperative Photoredox and N ‐Heterocyclic Carbene Cata, Baussière and Haugland - 2023 - Radical Group Transfer of Vinyl and Alkynyl Silanes Driven by Photoredox Catalysis, Bhaskar Pal et al. - 2023 - Stereospecific Photoredox‐Catalyzed Vinylations to Functionalized Alkenes and C ‐Glycosides, Bárbara et al. - 2025 - Protecting group-free photocatalyzed O-arylation of quinic acid, Carbene_and_photocatalyst-catalyzed_decarboxylative_radical_coupling_of_carboxylic_acids_and_acyl_imidazoles_to_form_ket, Cardinale et al. - 2020 - Photoredox‐Catalyzed Addition of Carbamoyl Radicals to Olefins A 1,4‐Dihydropyridine Approach, Chemistry A European J - 2022 - Prentice - Multi‐Resonant Thermally Activated Delayed Fluorescent  MR‐TADF  Compounds as, Combining_photoredox_catalysis_and_hydrogen_atom_transfer_for_dearomative_functionalization_of_electron_rich_heteroarene, Cooperative_photoredox_and_N-heterocyclic_carbene-catalyzed_formal_CH_acylation_of_cyclopropanes_iviai_a_deconstructionr, Diastereoselective_and_enantioselective_photoredox_pinacol_coupling_promoted_by_titanium_complexes_with_a_red-absorbing_, Fan et al. - 2023 - PhotoredoxHAT dual-catalyzed carboxylation of benzyl chlorides with CO2 using thiophenolate and for, Photocatalytic_synthesis_of_tetra-substituted_furans_promoted_by_carbon_dioxide, Photoinduced_CoNi-cocatalyzed_Markovnikov_hydroarylation_of_unactivated_olefins_with_aryl_bromides, Photoredox-catalyzed_dicarbofunctionalization_of_styrenes_with_amines_and_COsub2sub_a_convenient_access_to_-amino_acids, Reductive_dearomative_arylcarboxylation_of_indoles_with_CO2_via_visible-light_photoredox_catalysis, Straightforward_synthesis_of_functionalized_-Lactams_using_impure_CO2_stream_as_the_carbon_source, Tertiary_Alcohols_as_Radical_Precursors_for_the_Introduction_of_Tertiary_Substituents_into_Heteroarenes, Transition_metal-free_visible_light_photoredox-catalyzed_remote_Csp3H_borylation_enabled_by_1,5-hydrogen_atom_transfer, Visible_light-mediated_organocatalyzed_1,3-aminoacylation_of_cyclopropane_employing_N-benzoyl_saccharin_as_bifunctional_, ao3c10008, au4c00902, catalysts-13-01007-v2, catalysts-13-01126, cs2c04736, d1ra07314a, d2ra07064b, d3sc04645a, fchem-10-1087834, gg3c00053, ja3c06524, ja4c02474, ja4c05272, jo2c02952, molecules-27-01980-v2, ol3c01795, ol3c02389, ol4c02700, ol5c01129, sc5c11241, shi-et-al-2020-photoinduced-transition-metal-free-alkynylation-of-alkyl-pinacol-boronates",0.002375
WEVYAHXRMPXWCK-UHFFFAOYSA-N,CC#N,Acetonitrile (CH3CN only; no CH2Cl2…,"Acetonitrile (MeCN), Acetonitrile (CH3CN), acetonitrile, Acetonitrile (CH3CN only; no CH2Cl2), MeCN, Acetonitrile, CH3CN, acetonitrile (CH3CN), ACN, MeCN (Acetonitrile)","Accessing_chiral_sulfones_bearing_quaternary_carbon_stereocenters_via_photoinduced_radical_sulfur_dioxide_insertion_and_, Angew Chem Int Ed - 2019 - Meng - Controllable Isomerization of Alkenes by Dual Visible‐Light‐Cobalt Catalysis, Asymmetric_1,4-functionalization_of_1,3-enynes_via_dual_photoredox_and_chromium_catalysis, Banjare et al. - 2025 - Radical C─H‐Aroylation of Allenes via Cooperative Photoredox and N ‐Heterocyclic Carbene Cata, Baussière and Haugland - 2023 - Radical Group Transfer of Vinyl and Alkynyl Silanes Driven by Photoredox Catalysis, Bhaskar Pal et al. - 2023 - Stereospecific Photoredox‐Catalyzed Vinylations to Functionalized Alkenes and C ‐Glycosides, Borate_esters_as_convenient_reagents_for_direct_amidation_of_carboxylic_acids_and_transamidation_of_primary_amides, Brambilla et al. - 2023 - Synthesis of Indole‐Fused 1,4‐Diazepinones via Photoredox‐Catalyzed Cascade Cyclization Reaction, Bárbara et al. - 2025 - Protecting group-free photocatalyzed O-arylation of quinic acid, Calogero et al. - 2022 - A Photoredox Nozaki‐Hiyama Reaction Catalytic in Chromium, Carbene_and_photocatalyst-catalyzed_decarboxylative_radical_coupling_of_carboxylic_acids_and_acyl_imidazoles_to_form_ket, Cardinale et al. - 2020 - Photoredox‐Catalyzed Addition of Carbamoyl Radicals to Olefins A 1,4‐Dihydropyridine Approach, Chemistry A European J - 2022 - Prentice - Multi‐Resonant Thermally Activated Delayed Fluorescent  MR‐TADF  Compounds as, ChromiumCatalyzed_PinacolType_CrossCoupling_Studies_on_Stereoselectivity, Cooperative_photoredox_and_N-heterocyclic_carbene-catalyzed_formal_CH_acylation_of_cyclopropanes_iviai_a_deconstructionr, Diastereoselective_and_enantioselective_photoredox_pinacol_coupling_promoted_by_titanium_complexes_with_a_red-absorbing_, Direct_CH_difluoromethylation_of_heterocycles_via_organic_photoredox_catalysis, Direct_evidence_of_charge_separation_in_a_metalorganic_framework_efficient_and_selective_photocatalytic_oxidative_coupli, Direct_sulfonylation_of_anilines_mediated_by_visible_light, Dubois et al. - 2023 - Visible Light Photoredox-Catalyzed Decarboxylative Alkylation of 3-Aryl-Oxetanes and Azetidines via, Duhail et al. - 2021 - Radical α-Trifluoromethoxylation of Ketones under Batch and Flow Conditions by Means of Organic Phot, Electrochemical_deoxygenative_trifluoromethylallenylation_of_propargylic_alcohols_iviai_sodium-mediated_pre-association, Nickel-catalyzed_allylic_defluorinative_alkylation_of_trifluoromethyl_alkenes_with_reductive_decarboxylation_of_redox-ac, No_photocatalyst_required__versatile,_visible_light_mediated_transformations_with_polyhalomethanes, Photoactive_electron_donoracceptor_complex_platform_for_Ni-mediated_Cspsup3supCspsup2sup_bond_formation, Photoredox-catalyzed_dicarbofunctionalization_of_styrenes_with_amines_and_COsub2sub_a_convenient_access_to_-amino_acids, Rutheniumscpiiscp-catalyzed_chemoselective_deacylative_annulation_of_1,3-diones_with_sulfoxonium_ylides_iviai_CC_bond_ac, Suzuki-type_cross-coupling_of_alkyl_trifluoroborates_with_acid_fluoride_enabled_by_NHCphotoredox_dual_catalysis, Synthesis_of_a_polyisobutylene-tagged_fac-Irppysub3sub_complex_and_its_application_as_recyclable_visible-light_photocata, Thianthrenium-Enabled_Chromium-Catalyzed_Deuterated_Alkyl_Addition_to_Aldehydes_via_Photoactive_Electron_Donor-Acceptor_, Tunable_CH_functionalization_and_dearomatization_enabled_by_an_organic_photocatalyst, Visible-Light-Mediated_Deaminative_Three-Component_Dicarbofunctionalization_of_Styrenes_with_Benzylic_Radicals, Visible-light-induced_radical_hydrodifluoromethylation_of_alkenes, Visible_light-mediated_oxidative_decarboxylation_of_arylacetic_acids_into_benzyl_radicals_addition_to_electron-deficient, Zheng et al. - 2018 - Catalytic C−H Trifluoromethoxylation of Arenes and Heteroarenes, au4c00902, catalysts-13-01007-v2, catalysts-13-01126, cs2c04736, d1ra07314a, fchem-10-1087834, ja3c06524, jo2c02952, ol3c01795, ol4c02700, sc5c11241",0.001457
ZMXDDKWLCZADIW-UHFFFAOYSA-N,CN(C)C=O,"N,N-Dimethylformamide (DMF)","Dimethylformamide (DMF), DMF, N,N-Dimethylformamide (DMF), Dimethylformamide, N,N-dimethylformamide, THF/DMF, dimethylformamide, degassed DMF, DMF concentration, N,N-dimethylformamide (DMF), DMF (N,N-Dimethylformamide)","1-s2.0-S2666554920300478-main, Abdiaj - Improving the throughput of batch photochemical reactions using flow Dual photoredox and nickel cat, Access_to_a_new_class_of_synthetic_building_blocks_via_trifluoromethoxylation_of_pyridines_and_pyrimidines, Angew Chem Int Ed - 2019 - Meng - Controllable Isomerization of Alkenes by Dual Visible‐Light‐Cobalt Catalysis, Arylcarboxylation_of_unactivated_alkenes_with_CO2_via_visible-light_photoredox_catalysis, Baussière and Haugland - 2023 - Radical Group Transfer of Vinyl and Alkynyl Silanes Driven by Photoredox Catalysis, Brambilla et al. - 2023 - Synthesis of Indole‐Fused 1,4‐Diazepinones via Photoredox‐Catalyzed Cascade Cyclization Reaction, Bárbara et al. - 2025 - Protecting group-free photocatalyzed O-arylation of quinic acid, CH_functionalization_of_amines_with_aryl_halides_by_nickel-photoredox_catalysis, Catalytic_N-radical_cascade_reaction_of_hydrazones_by_oxidative_deprotonation_electron_transfer_and_TEMPO_mediation, ChromiumCatalyzed_PinacolType_CrossCoupling_Studies_on_Stereoselectivity, Cooperative_photoredox_and_N-heterocyclic_carbene-catalyzed_formal_CH_acylation_of_cyclopropanes_iviai_a_deconstructionr, Diastereoselective_and_enantioselective_photoredox_pinacol_coupling_promoted_by_titanium_complexes_with_a_red-absorbing_, Dual_goldphotoredox-catalyzed_CspH_arylation_of_terminal_alkynes_with_diazonium_salts, Dubois et al. - 2023 - Visible Light Photoredox-Catalyzed Decarboxylative Alkylation of 3-Aryl-Oxetanes and Azetidines via, Dutta et al. - 2021 - Visible light-promoted synthesis of pyrrolidinone derivatives via Rose Bengal as a photoredox, Electrochemical_deoxygenative_trifluoromethylallenylation_of_propargylic_alcohols_iviai_sodium-mediated_pre-association, Electrochemical_selective_hydrocarboxylation_of_acrylamides_with_carbon_dioxide_for_precise_control_of_-_and_-carboxylat, Fan et al. - 2023 - PhotoredoxHAT dual-catalyzed carboxylation of benzyl chlorides with CO2 using thiophenolate and for, Nickel-catalyzed_allylic_defluorinative_alkylation_of_trifluoromethyl_alkenes_with_reductive_decarboxylation_of_redox-ac, Photocatalytic_synthesis_of_tetra-substituted_furans_promoted_by_carbon_dioxide, Photoinduced_CoNi-cocatalyzed_Markovnikov_hydroarylation_of_unactivated_olefins_with_aryl_bromides, Photoredox-catalyzed_dicarbofunctionalization_of_styrenes_with_amines_and_COsub2sub_a_convenient_access_to_-amino_acids, Ptscpiiscp_coordination_complexes_as_visible_light_photocatalysts_for_the_oxidation_of_sulfides_using_batch_and_flow_pro, Reductive_dearomative_arylcarboxylation_of_indoles_with_CO2_via_visible-light_photoredox_catalysis, Straightforward_synthesis_of_functionalized_-Lactams_using_impure_CO2_stream_as_the_carbon_source, Suzuki-type_cross-coupling_of_alkyl_trifluoroborates_with_acid_fluoride_enabled_by_NHCphotoredox_dual_catalysis, Thianthrenium-Enabled_Chromium-Catalyzed_Deuterated_Alkyl_Addition_to_Aldehydes_via_Photoactive_Electron_Donor-Acceptor_, Visible-light-induced_radical_hydrodifluoromethylation_of_alkenes, Visible-light-mediated_Minisci_CH_alkylation_of_heteroarenes_with_unactivated_alkyl_halides_using_Osub2sub_as_an_oxidant, Visible_light-mediated_oxidative_decarboxylation_of_arylacetic_acids_into_benzyl_radicals_addition_to_electron-deficient, au4c00902, catalysts-13-01007-v2, catalysts-13-01126, d2ra07064b, fchem-10-1087834, gg3c00053, jo2c02952, ol3c01795, ol3c02389, ol4c02700",0.001253
IAZDPXIOMUYVGZ-UHFFFAOYSA-N,CS(=O)C,Dimethyl sulfoxide (DMSO),"DMSO, Dimethyl sulfoxide (DMSO), Dimethyl sulfoxide, DMSO (dimethyl sulfoxide), dimethyl sulfoxide, DMSO:H2O (9:1), DMSO:H2O (1:1)","Abdiaj - Improving the throughput of batch photochemical reactions using flow Dual photoredox and nickel cat, Angew Chem Int Ed - 2019 - Meng - Controllable Isomerization of Alkenes by Dual Visible‐Light‐Cobalt Catalysis, Aryl_radical-mediated_N-heterocyclic_carbene_catalysis, Arylcarboxylation_of_unactivated_alkenes_with_CO2_via_visible-light_photoredox_catalysis, Borate_esters_as_convenient_reagents_for_direct_amidation_of_carboxylic_acids_and_transamidation_of_primary_amides, Boselli et al. - 2025 - Visible‐Light Photoredox Catalytic Direct N ‐(Het)Arylation of Lactams, Bárbara et al. - 2025 - Protecting group-free photocatalyzed O-arylation of quinic acid, Cooperative_photoredox_and_N-heterocyclic_carbene-catalyzed_formal_CH_acylation_of_cyclopropanes_iviai_a_deconstructionr, Direct_CH_difluoromethylation_of_heterocycles_via_organic_photoredox_catalysis, Electrochemical_deoxygenative_trifluoromethylallenylation_of_propargylic_alcohols_iviai_sodium-mediated_pre-association, Electrochemical_selective_hydrocarboxylation_of_acrylamides_with_carbon_dioxide_for_precise_control_of_-_and_-carboxylat, Fan et al. - 2023 - PhotoredoxHAT dual-catalyzed carboxylation of benzyl chlorides with CO2 using thiophenolate and for, Nickel-catalyzed_allylic_defluorinative_alkylation_of_trifluoromethyl_alkenes_with_reductive_decarboxylation_of_redox-ac, Photoactive_electron_donoracceptor_complex_platform_for_Ni-mediated_Cspsup3supCspsup2sup_bond_formation, Photocatalytic_reverse_polarity_Povarov_reaction, Photoredox-catalyzed_dicarbofunctionalization_of_styrenes_with_amines_and_COsub2sub_a_convenient_access_to_-amino_acids, Reductive_dearomative_arylcarboxylation_of_indoles_with_CO2_via_visible-light_photoredox_catalysis, Straightforward_synthesis_of_functionalized_-Lactams_using_impure_CO2_stream_as_the_carbon_source, Switching_mesoionic_carbene-organocatalysis_from_radical_to_ionic_pathway_through_base-controlled_formation_of_Breslow_i, Tertiary_Alcohols_as_Radical_Precursors_for_the_Introduction_of_Tertiary_Substituents_into_Heteroarenes, Tunable_CH_functionalization_and_dearomatization_enabled_by_an_organic_photocatalyst, Visible_light-mediated_oxidative_decarboxylation_of_arylacetic_acids_into_benzyl_radicals_addition_to_electron-deficient, au4c00902, catalysts-13-01126, d2ra07064b, fchem-10-1087834, gg3c00053, ol3c01795, ol4c02700, sc5c11241",0.001238
FJDQFPXHSGXQBY-UHFFFAOYSA-L,C(=O)([O-])[O-].[Cs+].[Cs+],Cs2CO3 (cesium carbonate),"Cs2CO3, Cs2CO3 (3.0 equiv), Cs2CO3 (1.5 equiv), Cs2CO3 (cesium carbonate)","1-s2.0-S2666554920300478-main, Access_to_a_new_class_of_synthetic_building_blocks_via_trifluoromethoxylation_of_pyridines_and_pyrimidines, Aryl_radical-mediated_N-heterocyclic_carbene_catalysis, Arylcarboxylation_of_unactivated_alkenes_with_CO2_via_visible-light_photoredox_catalysis, Banjare et al. - 2025 - Radical C─H‐Aroylation of Allenes via Cooperative Photoredox and N ‐Heterocyclic Carbene Cata, Bárbara et al. - 2025 - Protecting group-free photocatalyzed O-arylation of quinic acid, Cooperative_photoredox_and_N-heterocyclic_carbene-catalyzed_formal_CH_acylation_of_cyclopropanes_iviai_a_deconstructionr, Dubois et al. - 2023 - Visible Light Photoredox-Catalyzed Decarboxylative Alkylation of 3-Aryl-Oxetanes and Azetidines via, NHC_and_visible_light-mediated_photoredox_co-catalyzed_1,4-sulfonylacylation_of_1,3-enynes_for_tetrasubstituted_allenyl_, Photocatalytic_synthesis_of_tetra-substituted_furans_promoted_by_carbon_dioxide, Photodehydrogenation_of_alcohols_catalysed_by_a_single_ruthenium_N-Heterocyclic_carbene_complex, Reductive_dearomative_arylcarboxylation_of_indoles_with_CO2_via_visible-light_photoredox_catalysis, Rutheniumscpiiscp-catalyzed_chemoselective_deacylative_annulation_of_1,3-diones_with_sulfoxonium_ylides_iviai_CC_bond_ac, Selective_single_CF_bond_arylation_of_trifluoromethylalkene_derivatives, Suzuki-type_cross-coupling_of_alkyl_trifluoroborates_with_acid_fluoride_enabled_by_NHCphotoredox_dual_catalysis, Visible_light-mediated_organocatalyzed_1,3-aminoacylation_of_cyclopropane_employing_N-benzoyl_saccharin_as_bifunctional_, au4c00902, fchem-10-1087834, ol4c02700",0.000914
HXITXNWTGFUOAU-UHFFFAOYSA-N,OB(O)c1ccccc1,phenylboronic acid,"PhB(OH)2, phenylboronic acid","Nickel-catalyzed_cyclization_of_alkyne-nitriles_with_organoboronic_acids_involving_anti-carbometalation_of_alkynes, Photocatalytic_metalorganic_frameworks_for_the_aerobic_oxidation_of_arylboronic_acids, Selective_single_CF_bond_arylation_of_trifluoromethylalkene_derivatives",0.000834
MUBKQBHLWISCOS-UHFFFAOYSA-L,OB(O)c1ccccc1.[Cs+].[Cs+].[O-]C([O-])=O,C7H7BCs2O5,"Cs 2 CO 3, K 2 CO 3, Cs 2 CO 3 d, P(C 6 F 5 ) 3",Nickel-catalyzed_cyclization_of_alkyne-nitriles_with_organoboronic_acids_involving_anti-carbometalation_of_alkynes,0.000819
YMWUJEATGCHHMB-UHFFFAOYSA-N,C(Cl)Cl,Dichloromethane (reaction concentra…,"Dichloromethane (no H2O), Dichloromethane, Dichloromethane (DCM), Dichloromethane (CH2Cl2 only; no CH3CN), Dichloromethane (CH2Cl2), DCM (2), DCM (1), DCM (4), DCM (8), Dichloromethane (reaction concentration)","A_general_deoxygenation_approach_for_synthesis_of_ketones_from_aromatic_carboxylic_acids_and_alkenes, Angew Chem Int Ed - 2019 - Meng - Controllable Isomerization of Alkenes by Dual Visible‐Light‐Cobalt Catalysis, Angew Chem Int Ed - 2021 - Amos - Direct Photoexcitation of Ethynylbenziodoxolones  An Alternative to Photocatalysis for, Banjare et al. - 2025 - Radical C─H‐Aroylation of Allenes via Cooperative Photoredox and N ‐Heterocyclic Carbene Cata, Bond_cleavage,_fragment_modification_and_reassembly_in_enantioselective_three-component_reactions, Cardinale et al. - 2020 - Photoredox‐Catalyzed Addition of Carbamoyl Radicals to Olefins A 1,4‐Dihydropyridine Approach, Combining_photoredox_catalysis_and_hydrogen_atom_transfer_for_dearomative_functionalization_of_electron_rich_heteroarene, Goto and Ohmiya - 2025 - Distal C–H functionalization of alkoxyarenes through organic photoredox-catalyzed radical–radical co, Lead-Halide_Perovskites_for_Photocatalytic_-Alkylation_of_Aldehydes, NHC_and_visible_light-mediated_photoredox_co-catalyzed_1,4-sulfonylacylation_of_1,3-enynes_for_tetrasubstituted_allenyl_, Thianthrenium-Enabled_Chromium-Catalyzed_Deuterated_Alkyl_Addition_to_Aldehydes_via_Photoactive_Electron_Donor-Acceptor_, Tunable_CH_functionalization_and_dearomatization_enabled_by_an_organic_photocatalyst, Yin et al. - 2020 - Photoredox Catalytic Trifluoromethylation and Perfluoroalkylation of Arenes Using Trifluoroacetic an, ja4c02474",0.000809
KUWAHGSTTYQIHT-IDCFCIFXSA-N,OC(C1=CC=C(C2=CC=CC=C2)C=C1)(C1=CC=C(C2=CC=CC=C2)C=C1)[C@@H]1C[C@@H](O[Si](C2=CC=CC=C2)(C2=CC=CC=C2)C(C)(C)C)CN1C(=O)C1=C(N2CCCC2)C=CN=C1,C55H55N3O3Si,C1,Silverchiral_pyrrolidinopyridine_relay_catalytic_cycloisomerization2  3_cycloadditions_of_enynamides_to_asymmetrically_s,0.000658
WYURNTSHIVDZCO-UHFFFAOYSA-N,C1CCOC1,Tetrahydrofuran (THF) (molecular si…,"Tetrahydrofuran (THF), THF, tetrahydrofuran, Tetrahydrofuran (THF) (molecular sieves, predried), Tetrahydrofuran (freshly distilled THF), Tetrahydrofuran (freshly distilled THF + H2O), THF (2)","A_chiral_nickel_DBFOX_complex_as_a_bifunctional_catalyst_for_visible-light-promoted_asymmetric_photoredox_reactions, Abdiaj - Improving the throughput of batch photochemical reactions using flow Dual photoredox and nickel cat, Access_to_a_new_class_of_synthetic_building_blocks_via_trifluoromethoxylation_of_pyridines_and_pyrimidines, Alandini_Angewandte Chemie International Edition_10.1002_anie.202000224, Angew Chem Int Ed - 2019 - Meng - Controllable Isomerization of Alkenes by Dual Visible‐Light‐Cobalt Catalysis, Asymmetric_1,4-functionalization_of_1,3-enynes_via_dual_photoredox_and_chromium_catalysis, Baussière and Haugland - 2023 - Radical Group Transfer of Vinyl and Alkynyl Silanes Driven by Photoredox Catalysis, Borate_esters_as_convenient_reagents_for_direct_amidation_of_carboxylic_acids_and_transamidation_of_primary_amides, Bárbara et al. - 2025 - Protecting group-free photocatalyzed O-arylation of quinic acid, Catalytic_N-radical_cascade_reaction_of_hydrazones_by_oxidative_deprotonation_electron_transfer_and_TEMPO_mediation, Catalytic_asymmetric_radical_aminoperfluoroalkylation_and_aminodifluoromethylation_of_alkenes_to_versatile_enantioenrich, ChromiumCatalyzed_PinacolType_CrossCoupling_Studies_on_Stereoselectivity, Copper-catalysed_photoinduced_decarboxylative_alkynylation_a_combined_experimental_and_computational_study, Copper-catalyzed_regio-_and_stereo-selective_hydrosilylation_of_terminal_allenes_to_access_E-allylsilanes, Das et al. - 2018 - Copper catalyzed photoredox synthesis of α-keto esters, quinoxaline, and naphthoquinone controlled, Diastereoselective_and_enantioselective_photoredox_pinacol_coupling_promoted_by_titanium_complexes_with_a_red-absorbing_, Dutta et al. - 2021 - Visible light-promoted synthesis of pyrrolidinone derivatives via Rose Bengal as a photoredox, Lead-Halide_Perovskites_for_Photocatalytic_-Alkylation_of_Aldehydes, NHC_and_visible_light-mediated_photoredox_co-catalyzed_1,4-sulfonylacylation_of_1,3-enynes_for_tetrasubstituted_allenyl_, Nickel-catalyzed_allylic_defluorinative_alkylation_of_trifluoromethyl_alkenes_with_reductive_decarboxylation_of_redox-ac, Nickel-catalyzed_cyclization_of_alkyne-nitriles_with_organoboronic_acids_involving_anti-carbometalation_of_alkynes, Photoactive_electron_donoracceptor_complex_platform_for_Ni-mediated_Cspsup3supCspsup2sup_bond_formation, Photoredox-catalyzed_dicarbofunctionalization_of_styrenes_with_amines_and_COsub2sub_a_convenient_access_to_-amino_acids, Switching_mesoionic_carbene-organocatalysis_from_radical_to_ionic_pathway_through_base-controlled_formation_of_Breslow_i, Thianthrenium-Enabled_Chromium-Catalyzed_Deuterated_Alkyl_Addition_to_Aldehydes_via_Photoactive_Electron_Donor-Acceptor_, Visible_light-mediated_organocatalyzed_1,3-aminoacylation_of_cyclopropane_employing_N-benzoyl_saccharin_as_bifunctional_, Ye et al. - 2023 - Photoredox-enabled remote radical group migration Pathway to 1,7-dicarbonyl compounds from diazoalk, au4c00902, catalysts-13-01007-v2, d2ra07064b, fchem-10-1087834, iOrthoi_CH_arylation_of_arenes_at_room_temperature_using_visible_light_ruthenium_CH_activation, ja4c02474, ol3c02389, shi-et-al-2020-photoinduced-transition-metal-free-alkynylation-of-alkyl-pinacol-boronates",0.000658
