catalyst_key,name,smiles,n_reactions,mean_yield,max_yield,min_yield
DQGZDXPHVNYTTK-UHFFFAOYSA-N,C56H35ClN6,ClC1(C(C(C#N)(C(=C(C1)N1C2=CC=CC=C2C=2C=CC=CC12)N1C2=CC=CC=C2C=2C=CC=CC12)N1C2=CC=CC=C2C=2C=CC=CC12)N1C2=CC=CC=C2C=2C=CC=CC12)C#N,1,99.0,99.0,99.0
WQXPYUMSZUPSEU-UHFFFAOYSA-N,C16H10N4O2S2,COC1=CC=C(S1)C2=NC(=C(N=C2C3=CC=C(S3)OC)C#N)C#N,3,98.7,100.0,96.0
NAMED__phnso2cf32,PhN(SO 2 CF 3 ) 2,,1,98.0,98.0,98.0
DIOHEXPTUTVCNX-UHFFFAOYSA-N,"PhN(SO2CF3)2 (N,N-bis(trifluorometh…",c1ccccc1N(S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,1,98.0,98.0,98.0
MSTXNFJRDVUKRG-UHFFFAOYSA-N,PC-4 (4-BrCzIPN),Brc1c(C#N)c(N2c3ccccc3-c3ccccc32)c(C#N)c(N2c3ccccc3-c3ccccc32)c1N2c3ccccc3-c3ccccc32,1,96.0,96.0,96.0
[Ir](dF(CF3)ppy)2(dtbpy)PF6,[Ir(dF(CF3)ppy)2(dtbpy)]PF6,[Ir](dF(CF3)ppy)2(dtbpy)PF6,1,95.0,95.0,95.0
NAMED__ecoliemptywholecell120mg,E. coli (empty) whole cell/120 mg,,1,95.0,95.0,95.0
NAMED__na3irsppy3,Na3Ir(sppy)3,,1,95.0,95.0,95.0
HOSDVNXNKJWINL-UHFFFAOYSA-N,C10H7FO3,O=c1ccc2cc(OCF)ccc2o1,2,94.5,99.0,90.0
JAEMQJFAYFRKST-UHFFFAOYSA-N,NHC-5,CC1=C(C)C=C(C)C=C1N1C=[N+]2C(=N1)COCC2C(C)C,1,94.0,94.0,94.0
CCJVMNUERHKTSX-UHFFFAOYSA-M,CuOAc,O=C([O-])C[Cu],1,94.0,94.0,94.0
NAMED__0004408103,"0.004, 4.08 × 10 - 3",,1,93.0,93.0,93.0
NAMED__0003306103,"0.003, 3.06 × 10 - 3",,1,92.0,92.0,92.0
NAMED__ecolimaon9wholecell180mg,E. coli (MAO-N-9) whole cell/180 mg,,2,92.0,92.0,92.0
QMMFVYPAHWMCMS-UHFFFAOYSA-N,CuBr·Me2S,CSC,4,90.5,99.0,83.0
Cc1cc(C)cc(C)c1-n1cnc2[C@H]3c4cc(Br)ccc4C[C@H]3OC[n+]12.[BF4-],NHC-3,Cc1cc(C)cc(C)c1-n1cnc2[C@H]3c4cc(Br)ccc4C[C@H]3OC[n+]12.[BF4-],1,87.0,87.0,87.0
GOTVFBRVXFIYGL-UHFFFAOYSA-N,(ArO)3PAuNTf2,CC(C)(C)c1cc(C(C)(C)C)ccc1OP(Oc1ccc(C(C)(C)C)cc1C(C)(C)C)Oc1ccc(C(C)(C)C)cc1C(C)(C)C.[Au+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,3,86.7,95.0,75.0
NAMED__aro3pauntf2d,( Ar O) 3 PAuNTf 2 d,,3,86.7,95.0,75.0
UBJTWXKMSUZYOF-SMTSAFDASA-N,C55H55N3O3Si,CC(C)(C)[Si](O[C@@H]1CN(C(=O)C2=CN=CC=C2N3CCCC3)[C@H](C1)C(O)(C4=CC(=CC=C4)C5=CC=CC=C5)C6=CC(=CC=C6)C7=CC=CC=C7)(C8=CC=CC=C8)C9=CC=CC=C9,1,86.0,86.0,86.0
IMAOWEWPUQUAFI-TXEPZDRESA-M,NHC-6,Cc1cc(C)cc(C)c1-n1cnc2[C@H](Cc3ccccc3)CC[n+]12.[F-].[B](F)(F)F,1,85.0,85.0,85.0
PHRAYFRGCDHFRB-FJIAVIARSA-N,C67H63N3O3Si,CC(C)(C)[Si](OC1CC[C@H](N1C(=O)c2c(cccn2)N3CCCC3)[C@](O)(c4cc(c5ccccc5)cc(c4)c6ccccc6)c7cc(c8ccccc8)cc(c7)c9ccccc9)(c1ccccc1)c2ccccc2,2,85.0,85.0,85.0
MIYKHJXFICMPOJ-RVDMUPIBSA-N,dibenzylimine,C(=N\Cc1ccccc1)/c1ccccc1,4,85.0,100.0,44.4
RTUFULAFVKASRZ-UHFFFAOYSA-N,C40H40F7IrN4P,CC(C)(C)C1=CC=NC(=C1)C2=CC(=CC=N2)C(C)(C)C.C1=CC=C(C(=C1)C2=CC=CC=N2)[Ir+].C1=CC=C(C(=C1)C2=CC=CC=N2)F.F[P-](F)(F)(F)(F)F,1,84.0,84.0,84.0
CC(C)(C)c1cc[n]2[Ir+]3([c]4ccccc4-c4cccc[n]34)([c]3ccccc3-c3cccc[n]3)[n]2c1.F[B-](F)(F)F,[4b][BF4],CC(C)(C)c1cc[n]2[Ir+]3([c]4ccccc4-c4cccc[n]34)([c]3ccccc3-c3cccc[n]3)[n]2c1.F[B-](F)(F)F,1,84.0,84.0,84.0
URYYMVXXFNXTAX-UHFFFAOYSA-N,C40H32F12N8P2Ru+3,c1ccc(nc1)-c2cccc[n+]2[Ru-2]34([n+]5ccccc5-c6cccc[n+]63)([n+]7ccccc7-c8cccc[n+]84)[n+]9ccccc9-c%10cccc[n+]%10.F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F,1,83.0,83.0,83.0
ZYKHFMYKLMSRTB-UHFFFAOYSA-N,Ir(ppy) 2 (dtbbpy)PF 6,CC(C)(C)C1=CC=NC(=C1)C1=NC=CC(=C1)C(C)(C)C.C1=CC=C(C=C1)C1=CC=CC=[N]1.C1=CC=C(C=C1)C1=CC=CC=[N]1.F[P-](F)(F)(F)(F)F.[Ir+],1,83.0,83.0,83.0
NAMED__ecolimaon9lysate180mg,E. coli (MAO-N-9) lysate/180 mg,,1,83.0,83.0,83.0
YMNCCEXICREQQV-UHFFFAOYSA-L,PhCF3,[CH-]1C=CC=C1.[CH-]1C=CC=C1.[Cl-].[Cl-].[Ti+4],18,82.7,99.0,23.0
XAARDWSLAZLSJR-UHFFFAOYSA-N,PC1 (5CzBn),C1=CC=CC=2C3=CC=CC=C3N(C12)C1=C(C(=C(C(=C1C#N)N1C2=CC=CC=C2C=2C=CC=CC12)N1C2=CC=CC=C2C=2C=CC=CC12)N1C2=CC=CC=C2C=2C=CC=CC12)N1C2=CC=CC=C2C=2C=CC=CC12,3,82.3,99.0,49.0
RRBHRYNFGGGCST-UHFFFAOYSA-N,C24H18F12N12P2Ru,F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F.c1cnc(cn1)-c1cnccn1.c1cnc(cn1)-c1cnccn1.c1cnc(cn1)-c1cnccn1.[Ru+2],1,82.0,82.0,82.0
MGVDPWPVEVYSFA-UHFFFAOYSA-L,C11H12ClNO2PtS,CS(=O)C.[Cl-].[O-]c1cccc2cccnc12.[Pt+2],10,78.3,100.0,10.0
ZOMQCVKHGOMNER-UHFFFAOYSA-N,4DPAIPN,C1=CC=C(C=C1)N(C2=CC=CC=C2)C3=C(C(=C(C(=C3C#N)N(C4=CC=CC=C4)C5=CC=CC=C5)N(C6=CC=CC=C6)C7=CC=CC=C7)N(C8=CC=CC=C8)C9=CC=CC=C9)C#N,1,78.0,78.0,78.0
